,fno,country,year,season,lat,long,pc,cem,ast,nplsqm,ccd,vartype,fym,n,p,k,mf,wcp,iu,hu,fu,cs,ldg,yield
397,397,THA,2012,WS,14.6321,100.1176,1,2,0,NA,99,2,0,143.52,12.48,12.48,168.48,2,2,2,2,2,0,3.43
398,398,THA,2012,WS,14.6315,100.1156,1,2,0,NA,94,2,0,121.68,62.4,0,184.08,2,2,2,1,4,2,4.4
399,399,THA,2012,WS,14.6378,100.1245,1,2,0,NA,123,2,0,232.5,75,0,307.5,2,3,4,1,4,0,2.82
400,400,THA,2012,WS,14.6321,100.1177,1,2,0,NA,104,2,0,127.92,56.16,28.08,212.16,2,3,2,1,4,5,5.52
401,401,VNM,2012,DS,10.5767,105.1967,1,2,0,NA,105,2,0,101.8,56,90,247.8,2,2,1,2,4,0,7.52
402,402,VNM,2012,DS,10.5767,105.1967,1,2,0,NA,105,2,0,81.2,44.8,64.4,190.4,2,2,1,2,4,0,7.48
403,403,VNM,2012,DS,10.5767,105.1967,1,2,0,NA,105,2,0,102,80,84,266,2,2,1,2,4,0,7.45
404,404,VNM,2012,DS,10.5767,105.1967,1,2,0,NA,87,2,0,138,105.8,30,273.8,2,0,1,1,4,0,7
405,405,VNM,2012,DS,10.5767,105.1967,1,2,0,NA,87,2,0,99,46,30,175,2,0,4,0,4,0,7.4
406,406,VNM,2012,DS,10.5767,105.1967,1,2,0,NA,87,2,0,109,55.2,30,194.2,2,1,4,0,4,0,7.5
407,407,VNM,2012,DS,10.5767,105.1967,1,2,0,NA,87,2,0,96,69,30,195,2,3,3,0,4,0,7.47
408,408,VNM,2012,DS,10.2867,105.6569,1,2,0,NA,85,2,0,125.5,53,60,238.5,2,4,2,5,4,0,4.8
409,409,VNM,2012,DS,10.2867,105.6569,1,2,0,NA,86,2,0,51.5,40,80,171.5,2,3,1,4,3,0,4.78
410,410,VNM,2012,DS,10.2867,105.6569,1,2,0,NA,67,2,0,51.5,40,80,171.5,2,1,1,4,3,0,5.62
411,411,VNM,2012,DS,10.2867,105.6569,1,2,0,NA,88,2,0,60.3,50.8,15,126.1,2,2,2,3,4,10,5.28
412,412,VNM,2012,DS,10.2867,105.6569,1,2,0,NA,89,2,0,85,16,58.4,159.4,2,3,1,4,4,0,5.27
413,413,VNM,2012,DS,10.4475,106.5636,1,2,0,NA,100,2,0,117.4,41.4,7.5,166.3,2,5,1,3,4,0,5.83
414,414,VNM,2012,DS,10.4475,106.5636,1,2,0,NA,99,2,0,110,77.5,120,307.5,2,2,1,3,4,0,5.97
415,415,VNM,2012,DS,10.4475,106.5622,1,2,0,NA,91,2,0,66.8,41.4,99,207.2,2,3,1,3,4,0,6.88
416,416,VNM,2012,DS,10.3964,106.4464,1,2,0,NA,92,2,0,116.5,31.5,60,208,1,3,0,2,4,0,9.03
417,417,VNM,2012,DS,10.3667,106.6667,1,2,0,NA,102,2,0,67.4,29.8,26,123.2,1,0,0,3,4,0,9.07
418,418,VNM,2012,DS,10.3667,106.6667,1,2,0,NA,99,2,0,83.6,13.8,60,157.4,1,1,0,4,3,1,7.8
419,419,VNM,2012,DS,10.3667,106.6667,1,2,0,NA,107,2,0,121.6,69,8,198.6,3,1,1,3,3,0,8.1
420,420,VNM,2012,DS,10.3667,106.6667,1,2,0,NA,87,2,0,98,43,75,216,1,1,0,2,4,1,10.15
421,421,VNM,2012,DS,10.1125,106.0906,1,2,0,NA,86,2,0,99.8,55.2,30,185,3,4,1,4,4,0,7.9
422,422,VNM,2012,DS,10.1125,106.0072,1,2,0,NA,86,2,0,96,46,42,184,1,2,0,4,4,0,8.18
423,423,VNM,2012,DS,10.4383,106.1128,1,2,0,NA,95,2,0,110,62,38,210,3,4,1,3,4,0,8.67
424,424,VNM,2012,DS,10.4078,106.1128,1,2,0,NA,95,2,0,117,39,8,164,3,2,1,4,4,0,8.63
425,425,VNM,2012,DS,10.4078,106.1111,1,2,0,NA,90,2,0,48,39,38,125,3,5,1,5,4,0,9.77
